Track;Matcher;Type;Macro Precision (P);Macro Recall (R);Residual Macro Recall (R+);Macro F1;Micro Precision (P);Micro Recall (R);Residual Micro Recall (R+);Micro F1;# of TP;# of Residual TP;# of FP;# of FN;# of Correspondences;Total Runtime;Total Runtime (HH:MM:SS)
de-en;M_0.4_optimal_threshold;PROPERTIES;0.296094888678911;0.29568219026621256;0.29568219026621256;0.29588839556703894;0.5355805243445693;0.5335820895522388;0.5335820895522388;0.5345794392523365;143;143;124;125;267;-;-
de-en;M_0.4_optimal_threshold;INSTANCES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;-;-
de-en;M_0.2;ALL;0.22226358872430832;0.22083501729573687;0.23066859568338216;0.2215470001181845;0.36560509554140125;0.3637515842839037;0.37262872628726285;0.3646759847522237;287;275;498;502;785;0;00:00:00
de-en;M_0.2;CLASSES;0.22538014599450776;0.2237018243161861;0.23927179058758008;0.2245378490200285;0.3539651837524178;0.3512476007677543;0.3638297872340426;0.35260115606936415;183;171;334;338;517;-;-
de-en;M_0.2;PROPERTIES;0.15850185699193553;0.15850185699193553;0.15850185699193553;0.15850185699193553;0.3880597014925373;0.3880597014925373;0.3880597014925373;0.3880597014925373;104;104;164;164;268;-;-
de-en;M_0.2;INSTANCES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;-;-
de-en;M_0.2_optimal_threshold;ALL;0.19578642704609364;0.18857894161283195;0.19131394776774516;0.1921151082020246;0.3768913342503439;0.3472750316856781;0.35501355013550134;0.3614775725593667;274;262;453;515;727;0;00:00:00
de-en;M_0.2_optimal_threshold;CLASSES;0.192797927162564;0.18313486540509383;0.18764411027568922;0.1878422055183853;0.3640256959314775;0.32629558541266795;0.33617021276595743;0.3441295546558704;170;158;297;351;467;-;-
de-en;M_0.2_optimal_threshold;PROPERTIES;0.15850185699193553;0.15850185699193553;0.15850185699193553;0.15850185699193553;0.4;0.3880597014925373;0.3880597014925373;0.393939393939394;104;104;156;164;260;-;-
de-en;M_0.2_optimal_threshold;INSTANCES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;-;-
de-en;M_0.4;ALL;0.39665743203709797;0.39308600346566935;0.37905544401661245;0.39486364227935855;0.5171974522292994;0.514575411913815;0.5176151761517616;0.5158831003811944;406;382;379;383;785;0;00:00:00
de-en;M_0.4;CLASSES;0.4040020470265632;0.39896708199159825;0.3831599959494696;0.4014687788007719;0.5067698259187621;0.5028790786948176;0.5063829787234042;0.5048169556840076;262;238;255;259;517;-;-
de-en;M_0.4;PROPERTIES;0.2967933013773236;0.2967933013773236;0.2967933013773236;0.2967933013773236;0.5373134328358209;0.5373134328358209;0.5373134328358209;0.5373134328358209;144;144;124;124;268;-;-
de-en;M_0.4;INSTANCES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;-;-
de-en;M_0.6000000000000001_optimal_threshold;ALL;0.5819750061217602;0.5563333402309956;0.5618043812700902;0.5688653696058164;0.633419689119171;0.6197718631178707;0.6205962059620597;0.6265214606021782;489;458;283;300;772;0;00:00:00
de-en;M_0.6000000000000001_optimal_threshold;CLASSES;0.582685714979695;0.5511873580001351;0.5596504392293866;0.5664990331590508;0.628968253968254;0.6084452975047985;0.6085106382978723;0.6185365853658537;317;286;187;204;504;-;-
de-en;M_0.6000000000000001_optimal_threshold;PROPERTIES;0.446129246310623;0.446129246310623;0.4461292463106229;0.446129246310623;0.6417910447761194;0.6417910447761194;0.6417910447761194;0.6417910447761194;172;172;96;96;268;-;-
de-en;M_0.6000000000000001_optimal_threshold;INSTANCES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;-;-
de-en;M_0.8_optimal_threshold;ALL;0.7288782807312647;0.7004937803241266;0.7095788148681353;0.7144042005250971;0.7309184993531694;0.7160963244613435;0.7181571815718157;0.7234314980793856;565;530;208;224;773;0;00:00:00
de-en;M_0.8_optimal_threshold;CLASSES;0.7429838269728058;0.7044019486014538;0.7136914255335308;0.7231786636722524;0.7312252964426877;0.710172744721689;0.7127659574468085;0.7205452775073028;370;335;136;151;506;-;-
de-en;M_0.8_optimal_threshold;PROPERTIES;0.5186756300977052;0.5182391221611974;0.5182391221611974;0.5184572842515134;0.7303370786516854;0.7276119402985075;0.7276119402985075;0.7289719626168225;195;195;72;73;267;-;-
de-en;M_0.8_optimal_threshold;INSTANCES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;-;-
